ID,bw,SEX,al,bl,cl,ch
SS1000,83.6,0,140.89,247.81,70.81,45.03
SS1001,43.3,1,108.04,187.63,52.41,33.82
SS1002,42.5,1,105.65,190.55,61.21,36.92
SS1003,39.9,1,108.69,184.47,49.42,31.34
SS1004,41.9,1,113.71,188.06,50.39,31.2
SS1005,57,0,106.88,197.19,61.17,36.32
SS1006,50,1,111.61,199.61,58.24,35.35
SS1007,36.3,1,104.24,182.92,53.44,31.45
SS1008,44.5,1,113.61,192.62,54.83,31.57
SS1009,37.9,1,110.05,190.06,54.46,31.44
SS100,61.8,1,130.31,214.89,51.44,37.19
SS1010,47.3,1,117.12,200.11,58.55,33.23
SS1011,51.2,0,120.6,206.12,58.52,34.34
SS1012,54.1,1,122.98,210.05,61.68,32.27
SS1013,57.6,0,122.4,213.68,61.95,33.75
SS1014,50.5,1,125.1,208.21,57.18,38.71
SS1015,53.2,1,120.33,211.36,64.54,39.53
SS1016,42.2,0,112.1,192.95,55.67,31.97
SS1017,44,1,118.96,197.02,53.04,34.59
SS1018,61.2,0,127.15,205.58,52.46,38.42
SS1019,49.5,1,120.11,210.04,61.01,36.2
SS101,59.5,1,123.83,214.64,57.19,33.6
SS1020,42.8,1,116.27,196.96,55.67,32.43
SS1021,37.5,1,104.57,188.28,57.76,34.8
SS1022,41,1,108.21,181.82,53.42,31.44
SS1023,46.1,1,119.83,203.67,55.16,35.45
SS1024,59.7,0,122.16,211.13,62.53,37.53
SS1025,59.2,1,118.09,212.66,66.92,40.03
SS1026,45.4,1,119.99,198.94,53.78,34.78
SS1027,45.9,1,103.42,201.32,70.04,42.45
SS1028,46.8,1,122.24,205.8,55.64,32.26
SS1029,57.1,1,123.93,208.21,62.83,39.01
SS102,57.4,1,121.6,205.88,56.96,34.93
SS1030,46.1,1,119.93,207.29,59.69,33.27
SS1031,57.9,1,118.48,220.9,75.46,43.44
SS1032,45,1,117.95,196.6,51.29,33.37
SS1033,41,0,106.78,187.68,54.58,30.3
SS1034,54.8,0,126.51,218.27,63.97,37.5
SS1035,44.6,0,113.05,192.62,56.41,30.34
SS1036,37.1,1,100.95,177.24,51.73,34.58
SS1037,48.2,1,115.86,202.93,59.85,34.98
SS1038,63.5,0,122.58,215.92,65.3,40.65
SS1039,50.1,1,118.33,203.72,58.4,38.04
SS103,51,1,121.93,191.03,41.79,29.86
SS1040,39.5,1,102.43,183.36,54.13,33.73
SS1041,45.7,1,107.71,190.08,60.35,35.63
SS1042,54,1,126.52,219.69,63.75,36.86
SS1043,66.3,0,127.8,226.91,70.14,38.05
SS1044,49.3,1,107.07,203.47,69.17,38.5
SS1045,52.3,1,121.98,208.75,58.75,36.31
SS1046,49.1,1,120.09,205.15,58.3,35.63
SS1047,55.9,1,120.62,214.79,66.44,37.17
SS1048,50.9,1,123.01,207.95,59.35,36.7
SS1049,40.4,1,113.32,191.78,53.25,34.43
SS104,54.2,1,116.55,206.35,60.15,34.56
SS1050,53,0,117.17,208.38,64.19,32.22
SS1051,50.9,1,125.78,209.48,56.79,37.58
SS1052,33.8,1,97.04,175.53,55.53,34.67
SS1053,38.5,1,102.99,188.5,60.46,35.46
SS1054,51.1,1,118.38,205.88,62.51,36.96
SS1055,55.1,1,122.25,213.36,62.46,37.05
SS1056,50.8,1,123.85,211.32,61.31,39.39
SS1057,46.1,1,118.46,198.97,53.98,35.35
SS1058,49.4,0,105.91,194.2,58.88,36.26
SS1059,56.9,0,121.49,214.54,62.79,34.96
SS105,60.8,1,132.64,218.27,46.32,6.07
SS1060,58.3,0,121.13,211.48,65.66,39.25
SS1061,46.1,1,114.14,202.63,61.22,35.24
SS1062,52.5,0,121.53,209.81,63.26,35.57
SS1063,44.5,1,119.7,196.2,53.73,34.5
SS1064,42.3,1,110.4,195.58,60.04,33.75
SS1065,59.1,1,124.79,216.33,64.13,36.69
SS1066,52.5,1,121.25,211.72,62.77,37.4
SS1067,53.9,0,122.35,214.13,66.37,38.68
SS1068,39.1,1,110.36,187.42,55.8,31.42
SS1069,43.1,1,111.77,193.36,57.28,36.86
SS106,58.8,1,139.86,234.84,62.57,34.85
SS1070,56.1,0,123.87,215.14,62.1,35.5
SS1071,54.7,0,113.56,211.9,70.89,38.83
SS1072,44.7,1,109.77,200.45,63.57,37.75
SS1073,49.5,1,113.97,204.77,65.3,37.85
SS1074,53.6,0,117.28,199.67,54.9,34.67
SS1075,44.4,1,108.02,196.93,64.27,38.72
SS1076,54.9,1,125.31,212.25,60,36.4
SS1077,40.6,1,109.35,190.7,57.26,30.08
SS1078,41.2,1,101.88,186.42,61.84,39.25
SS1079,43.5,0,112.68,193.48,57.85,33.09
SS107,61.6,1,140.7,235.97,58.34,48.8
SS1080,48.1,1,117,194.42,53.66,33.61
SS1081,35.4,0,99.67,182.68,60.09,33.06
SS1082,43.9,1,118.78,199.93,55.51,34.34
SS1083,53.9,0,119.77,209.27,63.91,35.63
SS1084,44.2,1,118.58,193.02,49.16,34.43
SS1085,43.7,1,115.08,194.28,53.88,35.27
SS1086,52,1,120.12,209.35,61.59,34.5
SS1087,47.9,1,118.39,204.2,58.16,36.47
SS1088,50.5,1,122.17,208.28,57.4,34.59
SS1089,48,1,117.12,211.25,61.16,36.2
SS108,60.4,1,116.5,217.19,67.61,38.08
SS1090,58.8,0,124.88,205.18,52.13,34.5
SS1091,49.8,1,113.75,204.1,65.49,40.35
SS1092,35.4,1,107.53,181.88,50.56,30.55
SS1093,48.9,0,115.12,205.13,62.24,34.5
SS1094,56.9,0,120.8,215.47,65.72,35.46
SS1095,63,0,116.78,210.48,66.49,37.82
SS1096,52.6,0,118.95,209.92,61.5,33.27
SS1097,56.4,1,122.71,215.91,64.02,37.81
SS1098,43.8,0,112.48,191.87,55.7,29.67
SS1099,54,0,119.86,209.64,62.47,31.59
SS109,59.6,1,122.77,213.44,60.14,37.34
SS1100,51.3,0,115,204.48,62.57,35.69
SS1101,57.4,1,124.98,216,61.98,37.87
SS1102,50,0,125.73,196.83,45.61,34.61
SS1103,70.1,0,134.95,237.46,73.4,36.71
SS1104,63.6,0,127.04,228.7,71.33,36.79
SS1105,64.7,0,120.72,214.69,67.22,37.22
SS1106,47.8,1,113.04,203.54,62.36,35.94
SS1107,54.8,0,123.02,211.14,61.99,34.64
SS1108,43.9,1,114.45,186.1,47.28,32.93
SS1109,50.9,1,117.44,209.01,63.97,37.99
SS110,58.3,1,124.88,211.5,60.37,37.44
SS1110,68.8,0,132.78,235.72,72.34,39.92
SS1111,47.5,1,113.74,193.58,54.16,33.73
SS1112,47.4,1,116.28,201.82,59.9,30.78
SS1113,43.5,1,112.81,196.43,58.63,32.02
SS1114,43.7,1,102.85,184.29,57.57,35.66
SS1115,39.6,1,107.2,179.37,47.79,31.19
SS1116,48.6,1,118.67,203.26,57.89,34.71
SS1117,43,1,111.25,194.29,57.94,35.66
SS1118,41.4,1,103.87,194.82,64.72,36.71
SS1119,55.5,0,119.57,211.76,63.72,36.86
SS111,67.2,1,118.46,204.9,54.92,36.44
SS1120,54.5,0,116.12,197,53.39,34.68
SS1121,50,1,112.06,193.17,58.36,36.69
SS1122,41.5,1,112.99,191.72,53.41,33.51
SS1123,67.9,0,123.97,219.18,66.28,38.51
SS1124,46.2,1,118.18,202.02,57.69,36.71
SS1125,55.9,0,118.53,210.67,63.66,33.85
SS1126,45.1,1,118.95,197.12,53.01,34.05
SS1127,44.8,1,111.27,198.59,62.63,39.5
SS1128,43.8,1,114.96,193.54,53.1,31.76
SS1129,52.7,0,125.83,206.98,56.8,34.13
SS112,56.8,1,115.2,200.77,58.13,32.72
SS1130,51.6,0,118.72,205.66,61.96,33.47
SS1131,55.1,0,120.73,211.71,62.74,32.43
SS1132,45.1,1,114.31,191.87,51.81,33.37
SS1133,43.9,0,103.9,183.94,53.58,34.95
SS1134,58.5,1,117.96,199.35,56.57,35.66
SS1135,36.8,1,101.72,172.89,46.02,33.73
SS1136,44.6,1,113.97,195.27,55.66,32.87
SS1137,42.4,1,114.38,200.54,55.6,32.69
