ID,bw,SEX,al,bl,cl,ch
SS1000,83.6,0.0,140.89,247.81,70.81,45.03
SS1001,43.3,1.0,108.04,187.63,52.41,33.82
SS1002,42.5,1.0,105.65,190.55,,36.92
SS1003,,1.0,,184.47,49.42,31.34
SS1004,41.9,1.0,113.71,188.06,50.39,31.2
SS1005,57.0,0.0,106.88,197.19,61.17,36.32
SS1006,50.0,1.0,111.61,199.61,58.24,35.35
SS1007,36.3,,,182.92,53.44,31.45
SS1008,,1.0,,192.62,54.83,31.57
SS1009,37.9,1.0,,190.06,54.46,31.44
SS100,61.8,1.0,130.31,214.89,51.44,37.19
SS1010,47.3,1.0,,,,33.23
SS1011,,,120.6,206.12,58.52,34.34
SS1012,54.1,1.0,122.98,210.05,61.68,32.27
SS1013,,0.0,,213.68,61.95,33.75
SS1014,50.5,,125.1,208.21,57.18,38.71
SS1015,,,120.33,211.36,64.54,39.53
SS1016,42.2,0.0,112.1,192.95,55.67,31.97
SS1017,44.0,1.0,118.96,197.02,53.04,34.59
SS1018,61.2,,127.15,205.58,52.46,
SS1019,,1.0,120.11,210.04,61.01,36.2
SS101,59.5,1.0,123.83,214.64,57.19,33.6
SS1020,42.8,1.0,116.27,196.96,55.67,32.43
SS1021,37.5,,104.57,188.28,57.76,34.8
SS1022,41.0,1.0,108.21,181.82,,31.44
SS1023,46.1,1.0,119.83,,55.16,35.45
SS1024,59.7,0.0,122.16,211.13,62.53,
SS1025,59.2,1.0,118.09,212.66,,
SS1026,45.4,1.0,119.99,198.94,53.78,34.78
SS1027,45.9,1.0,,,,42.45
SS1028,46.8,1.0,122.24,,55.64,32.26
SS1029,,1.0,123.93,208.21,62.83,39.01
SS102,57.4,1.0,121.6,205.88,56.96,34.93
SS1030,46.1,1.0,,207.29,,33.27
SS1031,57.9,1.0,118.48,220.9,75.46,43.44
SS1032,45.0,,,196.6,51.29,33.37
SS1033,41.0,0.0,106.78,,54.58,30.3
SS1034,54.8,0.0,126.51,218.27,,37.5
SS1035,44.6,0.0,113.05,192.62,,30.34
SS1036,37.1,1.0,100.95,177.24,51.73,34.58
SS1037,,1.0,115.86,202.93,59.85,34.98
SS1038,63.5,,122.58,215.92,65.3,40.65
SS1039,50.1,1.0,118.33,203.72,58.4,38.04
SS103,51.0,1.0,121.93,191.03,41.79,29.86
SS1040,39.5,1.0,102.43,183.36,54.13,33.73
SS1041,45.7,1.0,,190.08,60.35,35.63
SS1042,,1.0,126.52,219.69,,36.86
SS1043,66.3,0.0,127.8,226.91,70.14,38.05
SS1044,49.3,1.0,107.07,203.47,,38.5
SS1045,52.3,1.0,121.98,208.75,58.75,36.31
SS1046,49.1,,,205.15,58.3,35.63
SS1047,55.9,1.0,120.62,214.79,66.44,37.17
SS1048,,1.0,123.01,,59.35,36.7
SS1049,,1.0,113.32,191.78,53.25,34.43
SS104,54.2,1.0,116.55,206.35,60.15,34.56
SS1050,53.0,0.0,117.17,208.38,64.19,32.22
SS1051,50.9,1.0,125.78,209.48,56.79,37.58
SS1052,33.8,1.0,,,55.53,34.67
SS1053,38.5,1.0,102.99,188.5,60.46,
SS1054,51.1,1.0,118.38,205.88,,
SS1055,55.1,1.0,122.25,,62.46,37.05
SS1056,50.8,1.0,123.85,211.32,61.31,
SS1057,46.1,1.0,118.46,198.97,53.98,35.35
SS1058,49.4,0.0,,194.2,58.88,
SS1059,,0.0,121.49,214.54,62.79,34.96
SS105,60.8,1.0,132.64,218.27,46.32,6.07
SS1060,58.3,0.0,121.13,211.48,65.66,39.25
SS1061,46.1,1.0,114.14,202.63,,35.24
SS1062,,,121.53,209.81,63.26,
SS1063,44.5,1.0,119.7,196.2,53.73,
SS1064,42.3,1.0,,195.58,60.04,33.75
SS1065,59.1,,124.79,216.33,64.13,36.69
SS1066,,1.0,121.25,211.72,,37.4
SS1067,53.9,0.0,122.35,214.13,66.37,38.68
SS1068,39.1,1.0,110.36,187.42,55.8,
SS1069,43.1,1.0,111.77,193.36,57.28,36.86
SS106,58.8,1.0,139.86,234.84,62.57,34.85
SS1070,56.1,0.0,123.87,215.14,62.1,35.5
SS1071,54.7,0.0,,211.9,70.89,38.83
SS1072,44.7,,109.77,200.45,63.57,37.75
SS1073,49.5,1.0,113.97,204.77,65.3,37.85
SS1074,53.6,0.0,117.28,199.67,54.9,34.67
SS1075,44.4,1.0,108.02,196.93,64.27,
SS1076,,,125.31,,,36.4
SS1077,,1.0,109.35,,57.26,30.08
SS1078,41.2,1.0,,186.42,61.84,39.25
SS1079,43.5,0.0,112.68,193.48,,33.09
SS107,61.6,1.0,140.7,235.97,58.34,48.8
SS1080,,1.0,117.0,194.42,53.66,33.61
SS1081,35.4,0.0,99.67,182.68,60.09,33.06
SS1082,,1.0,,199.93,55.51,
SS1083,,0.0,119.77,209.27,63.91,35.63
SS1084,,1.0,118.58,193.02,49.16,34.43
SS1085,43.7,1.0,115.08,,53.88,35.27
SS1086,,1.0,120.12,,,34.5
SS1087,47.9,1.0,118.39,204.2,58.16,36.47
SS1088,50.5,1.0,122.17,208.28,,34.59
SS1089,48.0,1.0,117.12,,,
SS108,,,116.5,217.19,67.61,38.08
SS1090,58.8,0.0,124.88,205.18,52.13,34.5
SS1091,,,113.75,204.1,,
SS1092,35.4,1.0,,181.88,50.56,30.55
SS1093,,,115.12,205.13,62.24,
SS1094,56.9,0.0,120.8,,65.72,
SS1095,63.0,0.0,116.78,210.48,66.49,
SS1096,52.6,0.0,118.95,,61.5,33.27
SS1097,56.4,1.0,122.71,215.91,64.02,37.81
SS1098,43.8,0.0,112.48,191.87,,29.67
SS1099,54.0,,119.86,209.64,,
SS109,59.6,1.0,122.77,,60.14,37.34
SS1100,51.3,0.0,,204.48,62.57,
SS1101,57.4,1.0,124.98,216.0,61.98,
SS1102,50.0,0.0,125.73,,45.61,34.61
SS1103,70.1,0.0,134.95,,73.4,
SS1104,63.6,0.0,127.04,228.7,,36.79
SS1105,,0.0,,214.69,67.22,
SS1106,47.8,1.0,113.04,,62.36,35.94
SS1107,54.8,0.0,,211.14,61.99,34.64
SS1108,,1.0,114.45,186.1,47.28,
SS1109,50.9,1.0,117.44,209.01,63.97,37.99
SS110,58.3,,,211.5,60.37,
SS1110,68.8,,132.78,235.72,72.34,
SS1111,47.5,1.0,,193.58,54.16,33.73
SS1112,47.4,1.0,116.28,,,
SS1113,43.5,,112.81,196.43,58.63,32.02
SS1114,43.7,,102.85,184.29,57.57,
SS1115,39.6,1.0,107.2,179.37,,
SS1116,48.6,1.0,,203.26,57.89,34.71
SS1117,43.0,1.0,111.25,194.29,57.94,35.66
SS1118,41.4,1.0,103.87,194.82,64.72,36.71
SS1119,55.5,0.0,119.57,211.76,,36.86
SS111,67.2,1.0,118.46,204.9,54.92,36.44
SS1120,54.5,0.0,116.12,197.0,53.39,34.68
SS1121,50.0,1.0,112.06,,58.36,36.69
SS1122,41.5,1.0,112.99,191.72,53.41,33.51
SS1123,67.9,0.0,123.97,219.18,66.28,38.51
SS1124,46.2,1.0,118.18,,57.69,36.71
SS1125,55.9,,118.53,210.67,63.66,33.85
SS1126,45.1,,118.95,197.12,53.01,34.05
SS1127,,1.0,,,62.63,39.5
